Date Commented,Star Ratings 1-5,Comments,Sentiment
2024,3,"I had a good experience with the hospital itself – it's very clean, and I appreciated the overall environment. However, the parking situation is a bit disappointing. I paid 60 pesos for less than an hour, even with a validated ticket",2
2024,2,"I recently visited the facility and was disappointed with the wait time for X-rays, despite paying for premium service. The state-of-the-art medical equipment is commendable, but the queuing system needs significant improvement. …",0
2024,2,"Service could be greatly improved. I had a SCHEDULED procedure but when we arrived there, still took 40 minutes for me to be accommodated. There is also no one assisting senior people when before they used to be very attentive. For the price we pay and for a known prestigious hospital, service isn't worth it.",0
2024,1,Went into emergency room by 6:00pm my mother to be admitted… 2AM and still no admission.…,0
2024,1,"It is a hospital, and I strongly encourage you to avoid it. I had a fever and was locked here for three days. On the third day, I mustered the courage to say that I am leaving. I didn’t even get to eat. Food, doctors, and individual …",0
2024,1,Nurses: Snobby male nurses. The female nurses are kinder. I understand they are under stress but I dont think they should treat patients like that. …,0
2024,2,"One queues for hours. Staff is lazy, prefers playing on their phones than tending to sick patients. …",0
2024,2,After waiting for over 1 and 1/2 hours for my doctor’s appointment (!!!) I was asking the office lady for a glass of water but I was refused by her very abrupt and rude manner! …,0
2024,5,"The five-star rating for St. Luke's Medical is well-deserved for a reason. Professional and Compassionate Staff. The staff demonstrated a high level of professionalism and genuine compassion, making the entire experience …",2
2024,5,"As compared to Asian Hospital, St. Lukes Global has competent doctors, attentive and accommodating nurses. Overall experience is exemplary. They were able to provide a detailed plan on our first consult, surgery and discharge was both …",2
2024,1,"I visited the hospital based on recommendations that it is the best hospital in Manila. However, waiting in the emergency room for 2 hours is unacceptable. Every step, such as getting an x-ray or blood test, takes an hour. When I spoke to the staff, they said this is normal due to a shortage of staff. What a shame!",0
2024,3,Went to the pharmacy on 5F after discharged from its Emergency Department. Received quite different standard of care compared to my home country. Pharmacist did not reconstitute the medication unless prompted. Medication not labeled with …,0
2024,5,"The facility is top notch and at par with global standards. Probably the best hospital in the Philippines. The medical services are efficient and done with a big heart for the patients. The doctors and medical staff are professionals, …",2
2024,5,very thankful for the wonderful doctors at st lukes bgc who looked after my toddler. They did amazing job in diagnosing and treating my child's fever that was going on for almost a week while the first clinic and hospital in laguna couldn't …,2
2024,5,"I recently had the profound experience of witnessing the exceptional care and expertise at St. Luke's Medical Center when my friend fell seriously ill from food poisoning caused by squid. From the moment we arrived at the emergency room, …",1
2024,1,Wasted 5 days of my precious vacation and money. My insurance here in Guam arranged my executive check up even got an additional package and COLONOSCOPY. The WELLNESS Center is so unorganized. I’ve been going …,0
2024,1,"Took me 28 days to get the results of my ultrasound as part of my AHE, after several emails and filing of complaints. This hospital has caused me unnecessary stress since I had my surgery in 2019, and subsequent quarterly lab tests. During …",0
2023,1,"Visited family confined there and I’m grateful they have big parking to begin with. But expensive, p105 for almost 4 hours. …",2
2024,5,"Emergency room was great. Was in for Vertigo. Stayed 4 days and this hospital was amazing. The staff was great, Doctors were great. My whole stay and treatment was great. Thank you all.",2
2022,5,"Very fancy hospital for a check-up. Nonetheless, this hospital gives you a clear direction and path on where to go, and each room has a big and clear signage on what department they are from which is a big help for aged men/women. Hallways …",2
2024,3,"Updated: 06/03 Changed from 1 to 3. Other departments, like pathology, were remarkably efficient. …",2
2024,4,"the biggest hospital in BGC area’s , some doctor need pre-register before coming. …",1
2024,5,"It has the top facilities in the country with everything well-organized and clean. I visited with a relative and we've seen significant improvements in her condition. The staff here are all friendly, a big difference to the first hospital …",2
2024,1,"I accompanied my wife to her OB-GYN check-up today. We spent several hours in the waiting room before finally seeing the doctor for a consultation that lasted only five minutes. The wait for the ultrasound was even longer, making the entire experience feel like an exhausting ordeal.",0
2023,5,"The hospital itself is organized and beautiful, the nurses and staff are nice and attentive to my inquiries. While waiting the hospital offers snacks and drinks like water, coffee, and some juices. Place is clean …",2
2024,5,"I want to express my sincere gratitude and commendation to each member of the emergency team who responded to my recent situation. Your swift action, expertise, and compassionate care were truly remarkable. Each of you demonstrated …",2
2023,5,"Felt like we were in a Hotel than a Hospital because of how clean the building is and the staff were very courteous, friendly and accomodating. Even though we went there for a walk in accommodation, the service was fast. …",2
2019,5,"St. Luke's Global City is one of the best hospitals I've visited in the Philippines. I went here to see my Opthalmologist as I had some issues with my eyes, heads up that waiting could be frustrating to some patients but mind you it's worth …",2
2022,5,"St. Luke's BGC is one of the best (if not the best) hospitals in the country. This is also my go-to hospital for anything ""sickness"" related for me or my family for years now. The ER is fully equipped and they have residents on-call for …",2
2024,1,"I had UNPLEASANT experience with horrible service at St. Luke BGC my husband, got hospitalized on Sunday 28 of April midnight and was discharged …",0
2022,5,"Rating my personal experience at St Lukes BGC Tan Eng Gee Eye Institute under the personal care of Dr Irwin Cua a 5 out of 5! Had my lasik surgery done with them and as a doctor myself, I highly recommend the entire professionalism of staff …",2
2024,5,"Nice hospital.. I got annual medical tests done here. Quite costly but worth it. Systematic, well planned approach by the staff in handling things. Staff, Nurses, Doctors are really helpful, polite and caring.",2
2024,1,Went here for a medical exam. I chose St. Luke's because it's a prestigious hospital but the doctor who administered my physical checkup was very rude and unprofessional. The doctor shouted at me for not getting a wound checked. When I …,0
2024,1,"Expensive & long! Time is used extremely inefficiently here in St.Luke. Even if you schedule for a specific time, the doctor will see you half an hour to an hour later. Patients wait at the door scrolling their smartphones for hours instead …",0
2024,5,"I can't say anything but they're really is the standard, yes it's pricey but it's indeed worth the price. You get what you pay for, or I should rather say beyond your expectations. Grabe ung mga employees dito from registration staff nurse doctors lahat sila maasikaso and ang bilis kumilos ung urgency nadin talaga.",1
2024,5,Very good medical care -from tests to confinement/surgery. Patient’s time are valued here compared to other hospitals and clinics.,2
2018,5,"One of the best hospitals in Makati. the Doctors and attenders are  service minded and quick on work. on the other side, it's costly but worth the money is what I would say. …",2
2024,1,"Last night I ate at the Cafeteria. Today from 5am to 5pm I had the runs, stomach cramps, cold sweats, the whole works. I asked for a nurse 2x and they took 3hrs to respond. I needed to get forms in another building, then go back to the …",0
2024,3,Very slow service to think this is an emergency room . Took me 5hours over all just waiting for cbc and fecalysis result. Please improve your turn around time.,0
2023,1,Made an appointment at 2:00 pm to meet doctor for consult. As I am under high fever 40 degree Celsius upon checking. Doctor was late for 20 minutes and the process was long. I tried to talk to receptionist that my feet’s and hand are so …,0
2023,5,"Grateful for their service when my brother got transferred from an inadequate hospital in Parañaque last 2021 and since my accident last Jul 12, 2023. I’m still going back for my PT, etc. Keep up the good work and may you continue to help more patients ",2
2024,5,"Hospital service is outstanding! My stay is very comfortable; all doctors, nurses, other staffs are all professional and pleasant.",2
2023,5,"GREAT Hospital. Systematic from parking, security, Elevator, etc. Everything looks so clean and hygienic. The Atmosphere is peaceful and very relaxing. There are ATM machines available, Restaurants, coffee shops, etc. And for you to avail …",2
2024,5,"Thanks to the e-health hub, it is easy to check results online. I don’t need to worry about getting my results, especially during calamities when I cannot personally pick them up.",2
2024,2,"Rushed to the ER nearly a week ago due to a gastritis flare up. No empathy at all from the nurses as I was in pain. I requested for a blanket got none. Everything was too transactional, you don't get treated like a human being . Won't ever go back to this hospital",0
2024,1,"I understand that there are many visitors and guests for this hospital, what I find frustrating is the guards mislead you into thinking you can find parking immediately by saying “mabilis po mka park kc madami po lumalabas”… I waited for 46 …",0
2024,1,Had an appointment at 2:40pm. Doctor did not arrive until 4pm. The assistant didn’t even give us the registration papers until after the doctor arrived then we were 34th in line. She kept saying just 30 more minutes until we could see the doctor. Absolute joke of a hospital.,0
2024,1,"This hospital efficiency is like a joke, especially Emergency Department. I knew I am not the only patient but it not supposed to slow like this. I spent …",0
2024,5,"Today my wife had a gastroscopy by dr Alexandra Laya. I want to say huge thanks to her, she found out what was the problem with her almost immediately, she is super nice and a great professional. I also would like to say huge thanks to the …",2
2020,2,"With a reputation as one of the finest medical facilities in the nation, this holds true for St. Lukes Medical Center - Global City. Overall ambience had good lighting, cool airconditioning, clean floors and well maintaing restrooms. My …",2
2023,5,"accomodating staff, good place, very reliable doctors, clean and rooms. a lot of waiting areas.",2
2024,2,Visited last 2022 december for ER concern. But just acknowledge me just a typical personchaving a check up. …,1
2024,1,"Highly disappointed by the experience we had at the Emergency department by Dr De Belen. Despite waiting for 2 hours, doctor was busy waiting attending other patients. She just advised some nurse to give the anti-rabies on my child’s wound …",0
2024,4,Better triaging system in ER than other hospitals like Asian hospital. The staff in ER have truly taken care of us. The room (regular private) is also very clean and frequently being taken care of by the housekeeping. The doctors and nurses …,2
2024,5,"So, I decided to review 2 JCI private hospitals as I have multiple visits to both facilities in the last 7months. SLMC is way ahead! Everyone is very caring and professional. You get what you paid for, excellent service!",2
2024,1,"Robber and scammer hospital. If you're a tourist and trying to find a good hospital, never consider to come here. I spent 24.000 PHP, I waste my one week for results and everything and they don't even know what is the accuracy of these …",0
2024,1,The procedure to contact a doctor is very slow and outdated. The provided numbers are landline numbers and hard to reach.,0
2023,5,"From the second I came through the door. Cleanliness, friendliness, helpfulness and organized fashion. Something not used to here in the Philippines. I am blow away by the quality of care. Better than some places in the USA. A+++ Dr. Michael Lucy and nurse Zelai amazing",2
2024,2,"For such an expensive hospital, the service here leaves a lot to be desired. First of, when you try calling any of the departments, it’s almost always busy or no one answers. …",0
2024,4,One of the best hospitals here in the Philippines. Some foreigners even flew here just for a checkup since the doctors here are  very professional and dedicated to their jobs. …,2
2024,1,"Turned up for my appointment early. Was told that the doctor would be ninety minutes late as he was coming from Quezon City. Two hours later I was told that he wouldn't be turning up after all. For over half an hour, the receptionist tried …",0
2020,4,"A luxurious place with a hotel atmosphere. Expensive consultation and treatment. Modern equipment. Waiting time sometimes excessive, MRI at 12 midnight, analysis two days later.",1
2024,5,"I'm surprised Google is asking me to make a food review on a hospital.... The food for patients is healthy tasty and sanitary because it's transported warm wrapped in saran wrap to minimize contamination. It comes with soup, protein, …",2
2024,4,"SLMC-BGC isn’t perfect but has to be the best hospital in the PH. I had family members who survived their “near death experience” moments as they received the world-class treatment from the best! To add, my mom was able to overcome her initial Breast CA treatment. Grateful for this hospital! Salute to the Doctors and fellow nurses!",2
2024,1,Terrible experience  my mother kept going back to your facility and kept saying clinic based. Which lead to her High BP,0
2024,1,"very slow responded, leave massage 3day, just read no replay send mail not replay, go onsite say back next day， …",1
2024,5,The concierge was super helpful in finding specialists for cardiothoracic surgery and pulmonology to conduct follow-ups from a surgery I had in Cebu. …,2
2024,5,The staffs are courteous unlike other hospitals. Complete facilities is a very plus.,2
2024,2,"MRI team members are polite and respectful in speaking to clients in-person; however, Their MRI Department landline is very difficult to reach, whether calling directly on their extension number or through the operator. We have been calling …",1
2024,1,The worse ever Number 1 slow elevator Number 2 all nurses are dumb don’t know how to even put the iv …,0
2023,1,Go somewhere else! Went in a couple of times for outpatient services at their ER. It literally takes at least 3 hours every time. No sense of urgency at all! Takes an hour to get the supplies they need to treat wound from one area to …,0
2022,1,We needed RT PCR test for international travel. Thought St. Luke’s BGC will be convenient. Turned out it was a disaster. Spent 1 hour to register online only to be told to do it again upon arrival for our appointment. Their online system does not work. Fancy Ehub but not operational. Staff just follow orders.,0
2023,2,The doctors and staffs are good.. BUT the waiting time is standard of 4 hours!!! When they can do all in 1-2 hours. Don't go at night where doctors are so tired and they will see you only after 3-4 hours. Clearance will take them 1 hour …,1
2024,1,We visited today and we found too difficult to find space for parking until we seek the valet service and the canteen is not clean and need more spacious it takes time to wait for turn to use the table to eat.,0
2024,1,"Where to start!  This is meant to be one of the best hospitals in the Philippines, ha! Unorganised, rampant, mind numbing incompetence at All levels.  Never even discussed the surgery that for which they required me to show up 2 days in …",0
2023,1,Ultrasound result is not yet received despite several follow ups. It's more than a week already but still I haven't received it. I tried calling the local line but it was always busy. Customer care email does not help too at all. They just …,0
2024,3,"Two stays there now. Some good care but rampantly disorganized. The ""Upsell"" for u needed tests and procedures is shameless. Sometimes ended up nearly yelling NO! …",0
2023,1,"I have initially requested for a medcert since i have to take a medical leave tomorrow to do the follow up labs and check up as i have declined to be admitted today. When I received my documents, MC is not included. Hence, I have to wait …",0
2024,5,St Luke’s global is a hotel like hospital and has high end equipments that can cater your health needs highly recommended your go to hospital,2
2023,1,"For pathology department only. Whenever you call them, they never answer phone calls. Even if it's 12 midnight and there's no patient. We caught them several times at night chit chatting because there are no patients but when asked why they …",0
2024,1,"If you are trying to bring your family abroad, don’t use St. Lukes for your medical exam. They are very slow in processing your papers. They also do not release copy of XRay exams, unlike other medical facilities. Its been almost a year …",0
2023,1,Brought a patient to St Luke’s because it was the nearest hospital from my location. Brought patient to the ER who was having severe abdominal pain. Three hours in there and patient got worse by getting chills and fever of 40 degrees. …,0
2024,1,"Bad hospital. Even in a public hospital they don't behave like this. I am with my 9-year-old son, a disrespectful attitude, they don't serve food, the TV doesn't work, and worst of all, there is no medicine to give according to the doctor. …",0
2023,1,"Yesterday I went to the ER with the symptoms of a clot in my arm, achey pain in my arm, chest pain, and shortness of breath. It took over an hour to even get my blood drawn for a d-dimer test (which came back at more than triple the max of …",0
2024,1,Worst hospital in the world. Poor service. Extremely slow and there’s no proper system.,0
2020,5,Been confined in this medical center for almost 2 months. They will definitely take care of you. Quality service. The best hospital in my honest opinion. Equipped by the best medical tools and team. Highly recommended.,2
2022,1,My review is only for the radiology department. Untrained staff wasted our time and money. …,0
2024,1,"Keeping my friend in the hospital even if she is perfectly fine? Not providing a medical result or a discharge date for the infant and mother, and instead giving any justification to keep them? Business is business, right?",0
2019,2,"Expect to wait 2 to 3 hours at the Emergency Room before u are seen. If yoy have a stroke or heart attack, you will be dead. 99% of the people here in ER just have a fever or flu or cold. Why isn't there a priority system?",0
2023,4,"Complete hospital in terms of facilities, team, and equipment. It does come with a cost to have these kind of quality. Location is okay since it easily serves BGC and its surrounding but it does come with the cost of traffic in the area. Cost is a bit hefty for some minor check ups but quality is okay.",2
2024,1,"Not organized. Messy scheduling and staff. I went on an earlier date and was told that walk ins were okay and no need for appointments. On the day of the checkup, people HAD appointments and I was made to wait hours on end. Bad experience.",0
2023,3,"My room's wall clock shows the wrong time during the entire length of our stay, 8 days.  Receptionist says time is adjusted by IT Department, not manually.  My doctor's clinic hours is 3pm-5pm, & he arrives at 5pm.  I was seen at 8pm. Accdg …",0
2023,3,Went there for a exec check up and at about 9am there was no parking in all basements. Had to circle for 30 - 40 mins before a security guy helped me with a spot. Went to the wellness center and registration was seamless. However the order …,1
2023,1,Parking here is the worst. I understand if there are many people but what I don’t understand is how they dont inform you that after circling their parking for a while and you fail to get a slot so you decide to just look for parking …,0
2023,4,"Fancy but it took 12hrs in the ER before we got our own room. Some nurse is off-putting, but the majority was nice. Food prices of basic dishes in the cafeteria is 3x or so than outside food, but understandable given the location.",2
2023,5,I have visited SLMC several times recently and it's been good experience so far. I will list down the things I like... …,2
2024,1,I can't think of any place which has the worst elevators. Long lines on every floor despite having 6 elevators. Elevator system is so inefficient since they don't segment the elevators to just service higher or lower floors. Long wait going up and going down.,0
2023,1,"Medically, one of the best hospitals in Manila. Organisationally, unfortunately, only profit-oriented. The main thing is to make a lot of money with many unnecessary things. Our checkout at the hospital was announced 24 hours in advance …",2
2024,1,"Emergency Outpatient is a joke. The few times I've been here, it takes them an average more than 3 hours to complete basic tests. There is no sense of urgency at all. Waste of time.",0
2024,1,If you want to spend a lot of money a follow a long procedure to get anything done then this is the place to go. I needed a vaccine that all other pharmacies sell for 1.9k. St Luke mentioned a price x3 but even then didnt offer it without …,1
2023,1,This is one the worst experience I have in the hospital. Considering that this hospital is the “best” in the Philippines but the E-hub system that they have is such terrible one. They do not provide the best customer journey from customer …,0
2023,1,"We had a horrible experience at the hospital. First of all, St. Luke's is known to be pricey, but was also known to be 'one of the best hospitals in the Philippines, supposedly. …",0
2023,1,Find alternative hospitals instead of coming here. I've decided to finally switched to a different hospital for confinement. The last straw was my latest experience at the woman's care center where staff at the registration was rude and …,0
2023,1,"My first experience at this hospital was back in December 2018 while on holiday. Right from the concierge, it didn’t give me a good impression. There were three people standing behind the desk and and all of them pretended to be busy and …",0
2023,1,"While I understand the price of medical procedures here in the Philippines is really high, I don't think what we paid for is worth the service we are getting.  I still haven't received the Mamogram Report for my mother ans it has been almost 3 weeks since we did it.",0
2023,1,My comment is just about ER services: I don't understand why there's a gelid Aircon that may worsen the situation of patients with respiratory sicknesses. I spent about 3 hours filling up forms (administrative work; answering several times …,0
2023,1,My wife had her executive checkup in July and about three times we came back in ghe two months - We cannot recommend this hospital,0
2023,1,I am rating this 1 star due to my experience with your emergency billing. I wont be able to elaborate here due to character limit however you can let me know if you need the whole context. This incident happen between 2:30am- 6:30am of …,1
2024,1,"A constant disappointment. Pretending to offer a humane and luxurious experience. But, staff is blindly following irrational policies that they don't understand. We end up always wasting our time waiting on long queues. If you have another …",0
2022,5,Honestly as an American I thought this was the best medical service I had ever received. I got a coral infection when wreck diving and had started to walk with a limp as it swelled. The concierge got me a bellhop to carry my heavy bag and a …,2
2024,1,"They have an online form which we dutifully filled out, followed by an email where they asked for more details. The following day, they asked for the same information again. Make it make sense.",1
2023,4,"The place is good, no question about it but it sad because my sister has no chance to leave and were not rich people, social worker took my sister on the list to be a member for charity. I know shes now discharge and staying with sister to …",1
2023,1,There should be online appointment system for the hospital and not only call the secretary to make appointment. This way doctor can also see the patients trying to boon for appointment. …,1
2024,1,"We spent 4 hours in the clinic and paid $110 (6000 pesos) for a three-minute consultation with an ENT doctor. We encountered a problem where we needed to remove pus, blood and prescribe …",0
2023,1,"Super bad service, not even worth 1 star. I was there at Pathology around 6pm on Dec 30, there  wasn’t any other patients, 3 ladies in the cashier just sit there and chit chatting, using their phone, …",0
2024,1,Wait time is horrible. Every transaction queue is almost an hour.,0
2024,1,Very disappointing Hospital! Snails are way more faster than your services! Doctors who are always late. What a shame,0
2023,2,I was rushed to the ER with a broken foot and leg. Arrived at 8am but I was attended to at 2pm already. ER doctors  and nurses were the worst. They told me the first aid procedure for my condition but did it after a few hours passed. I was …,0
